Wavelength,Photon energy,Efficiency
A,eV,
7,1771.21429,6.73E-09
7.2,1722.01389,6.07E-09
7.4,1675.47297,5.48E-09
7.5,1653.13333,5.23E-09
7.58,1635.68602,4.69E-09
7.65,1620.71895,4.40E-09
7.7475,1600.32268,4.02E-09
7.85,1579.42675,3.49E-09
7.95,1559.55975,2.80E-09
7.97,1555.64617,1.48E-09
7.975,1554.67085,4.13E-10
8,1549.8125,2.42E-10
8.01,1547.87765,1.28E-09
8.02,1545.94763,1.65E-09
8.03,1544.02242,2.01E-09
8.04,1542.10199,2.35E-09
8.045,1541.14357,2.95E-09
8.05,1540.18634,3.09E-09
8.075,1535.41796,3.19E-09
8.1,1530.67901,3.54E-09
8.125,1525.96923,3.87E-09
8.15,1521.28834,4.18E-09
8.15,1521.28834,4.37E-09
8.2,1512.0122,4.73E-09
8.25,1502.84848,4.97E-09
8.3,1493.79518,5.59E-09
8.4,1476.0119,6.12E-09
